trial,model,property,category,within_similarity,outside_similarity,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
59,axxl-property,can dax,mammal.n.01,0.32704082131385803,0.3309768736362457,0.4220193028450012,0.27385130524635315,0.2578132152557373,2,-0.06382245570421219,-0.13852661848068237,-0.3007567226886749
60,axxl-property,can dax,mammal.n.01,0.3218487501144409,0.3085506558418274,0.4355446398258209,0.28488045930862427,0.26112881302833557,2,-0.05772425979375839,-0.13141822814941406,-0.21188820898532867
61,axxl-property,can dax,mammal.n.01,0.2953411936759949,0.33368411660194397,0.40967848896980286,0.26613757014274597,0.255249559879303,1,-0.29404500126838684,-0.45061615109443665,-0.691241979598999
62,axxl-property,can dax,mammal.n.01,0.3134516179561615,0.3473687469959259,0.4276508688926697,0.2706565856933594,0.25173938274383545,2,-0.08419571816921234,-0.1458372175693512,-0.26975521445274353
63,axxl-property,can dax,mammal.n.01,0.31062594056129456,0.3773186504840851,0.42768803238868713,0.2764132022857666,0.2692188322544098,1,-0.20781373977661133,-0.32089540362358093,-0.6150740385055542
64,axxl-property,can dax,mammal.n.01,0.32848408818244934,0.3821262717247009,0.43117207288742065,0.27498313784599304,0.2599145174026489,1,-0.19375374913215637,-0.3155544400215149,-0.5170592665672302
65,axxl-property,can dax,mammal.n.01,0.34908801317214966,0.38675156235694885,0.411862850189209,0.27046287059783936,0.25703224539756775,2,-0.05148298665881157,-0.11045866459608078,-0.19066593050956726
66,axxl-property,can dax,mammal.n.01,0.30930617451667786,0.32426613569259644,0.42809563875198364,0.27484866976737976,0.2610219120979309,2,-0.06904906034469604,-0.17009586095809937,-0.24981234967708588
67,axxl-property,can dax,mammal.n.01,0.3267841637134552,0.35458335280418396,0.4528003931045532,0.29331719875335693,0.28413984179496765,2,-0.052806612104177475,-0.17158427834510803,-0.27193009853363037
68,axxl-property,can dax,mammal.n.01,0.33188676834106445,0.3785417973995209,0.4377627670764923,0.2836161255836487,0.2950831949710846,2,-0.04445226863026619,-0.16017933189868927,-0.16407513618469238
69,axxl-property,can dax,mammal.n.01,0.34698811173439026,0.38022008538246155,0.43073129653930664,0.27382248640060425,0.28523942828178406,2,-0.051482509821653366,-0.16622628271579742,-0.10433065891265869
70,axxl-property,can dax,mammal.n.01,0.363541841506958,0.3740423023700714,0.42286258935928345,0.26076042652130127,0.26567691564559937,2,-0.05450945347547531,-0.16545169055461884,-0.1893109381198883
71,axxl-property,can dax,mammal.n.01,-0.0009699162910692394,0.12672314047813416,0.4311624765396118,0.2661859393119812,0.2811200022697449,2,-0.08560144156217575,-0.30114907026290894,-0.22711291909217834
72,axxl-property,can dax,mammal.n.01,0.27397018671035767,0.24951694905757904,0.457568883895874,0.308209627866745,0.28776654601097107,2,-0.0571235716342926,-0.10935983806848526,-0.1840335726737976
73,axxl-property,can dax,mammal.n.01,0.3359324038028717,0.3218267261981964,0.46017858386039734,0.29503700137138367,0.26503118872642517,2,-0.06043517589569092,-0.11510191112756729,-0.18495579063892365
74,axxl-property,can dax,mammal.n.01,0.3743797838687897,0.3728831708431244,0.44762304425239563,0.29650208353996277,0.26201531291007996,2,-0.05779169499874115,-0.10291218012571335,-0.16208936274051666
75,axxl-property,can dax,mammal.n.01,0.3838096261024475,0.3903941214084625,0.455776572227478,0.2968156039714813,0.28547203540802,2,-0.061322759836912155,-0.11093872785568237,-0.19819067418575287
76,axxl-property,can dax,mammal.n.01,0.2712644934654236,0.24871736764907837,0.42297399044036865,0.2723970115184784,0.2470739185810089,2,-0.06616827100515366,-0.10015016794204712,-0.20073647797107697
77,axxl-property,can dax,mammal.n.01,0.3286026120185852,0.2998633086681366,0.4387383460998535,0.28282010555267334,0.2600381672382355,2,-0.05962581932544708,-0.06587003916501999,-0.17864477634429932
78,axxl-property,can dax,mammal.n.01,0.35006096959114075,0.3656977415084839,0.43530163168907166,0.2835870683193207,0.2589530944824219,2,-0.04865574836730957,-0.05865884944796562,-0.2266749143600464
79,axxl-property,can dax,mammal.n.01,0.35111886262893677,0.3889942169189453,0.43953558802604675,0.2881554961204529,0.27234387397766113,2,-0.04881726950407028,-0.10063445568084717,-0.18150512874126434
80,axxl-property,can dax,mammal.n.01,0.37508201599121094,0.3951849043369293,0.42942509055137634,0.2762836813926697,0.2519390881061554,2,-0.044875796884298325,-0.05471179634332657,-0.20763440430164337
81,axxl-property,can dax,mammal.n.01,0.19693633913993835,0.2587510347366333,0.4776388108730316,0.29661521315574646,0.3237340450286865,1,-0.21388579905033112,-0.6493865847587585,-0.6250026822090149
